Date,Open,High,Low,Close,Adj Close,Volume
2019-01-23,930.000000,942.900024,902.000000,906.549988,903.773132,6485855
2019-01-24,913.799988,923.349976,906.500000,910.400024,907.611389,2027003
2019-01-25,916.049988,925.000000,880.799988,886.099976,883.385803,2686280
2019-01-28,872.000000,884.250000,856.049988,868.599976,865.939392,2225129
2019-01-29,870.000000,911.000000,866.000000,903.599976,900.832153,1990949
2019-01-30,909.200012,919.000000,885.099976,890.450012,887.722473,1661063
2019-01-31,900.000000,902.000000,880.000000,894.049988,891.311462,1211981
2019-02-01,894.049988,904.000000,885.200012,899.650024,896.894348,803302
2019-02-04,904.049988,906.000000,875.049988,889.799988,887.074463,1004135
2019-02-05,887.000000,899.900024,880.000000,887.900024,885.180298,636345
2019-02-06,889.950012,909.750000,889.799988,897.299988,894.551514,1574950
2019-02-07,894.400024,906.599976,890.000000,899.299988,896.545349,894663
2019-02-08,893.599976,911.000000,887.000000,891.549988,888.819092,1367888
2019-02-11,891.099976,922.000000,891.099976,918.049988,915.237915,2245228
2019-02-12,920.400024,928.299988,894.000000,900.299988,897.542297,2255202
2019-02-14,897.950012,906.049988,888.750000,897.000000,894.252441,1021400
2019-02-15,899.000000,903.900024,889.099976,895.500000,892.757019,786612
2019-02-18,893.000000,899.900024,864.400024,868.599976,865.939392,980226
2019-02-19,868.000000,893.500000,859.000000,887.299988,884.582092,2044293
2019-02-20,888.000000,907.000000,879.000000,903.950012,901.181152,1332001
2019-02-21,906.950012,906.950012,888.000000,898.799988,896.046875,1005712
2019-02-22,901.000000,911.000000,893.500000,902.750000,899.984802,899553
2019-02-25,909.500000,912.900024,895.650024,907.750000,904.969482,1018766
2019-02-26,899.099976,916.200012,889.000000,907.250000,904.471008,1162090
2019-02-27,910.000000,915.900024,888.549988,898.700012,895.947205,1037003
2019-02-28,902.000000,914.549988,892.000000,908.799988,906.016235,723715
2019-03-01,907.700012,937.400024,907.049988,932.849976,929.992554,1630708
2019-03-05,940.049988,940.900024,912.200012,915.650024,912.845337,1251095
2019-03-06,923.299988,926.750000,912.700012,917.099976,914.290833,548075
2019-03-07,923.250000,935.549988,915.849976,920.200012,917.381348,1263678
2019-03-08,920.000000,931.650024,916.500000,921.700012,918.876770,685000
2019-03-11,921.950012,933.200012,914.400024,927.000000,924.160522,1046434
2019-03-12,934.700012,936.549988,911.599976,917.400024,914.589966,1184350
2019-03-13,931.000000,937.650024,918.200012,923.900024,921.070068,2260365
2019-03-14,934.000000,953.000000,923.299988,950.099976,947.189758,2668845
2019-03-15,958.950012,964.700012,940.349976,947.400024,944.498047,2737367
2019-03-18,969.950012,969.950012,953.200012,962.500000,959.551758,2642886
2019-03-19,975.000000,976.000000,938.150024,943.299988,940.410583,5497681
